round_id,client_id,identity,exec_time_s,peak_mem_mb,pinn_score,impossibility,action
1,client_000,HONEST,8.354456481885805,640.2822611098593,0.10458803882677511,0.0,ACCEPT
1,client_001,RELAY,8.011491730247894,1482.7683259588664,0.8857112571511746,0.85,WARN
1,client_002,SPOOFER,1.7955788089483034,633.1562179061065,0.033830127942136246,3.751606836096808e-08,REJECT
1,client_003,HONEST,7.647891547698556,679.7505688253174,0.11643755548298423,0.0,ACCEPT
1,client_004,HONEST,7.614287755479554,666.6811915761841,0.10485387746740202,0.0,ACCEPT
1,client_005,HONEST,9.412373988639468,627.183274448986,0.08361689267011159,0.0,ACCEPT
1,client_006,HONEST,7.77947021624141,602.4357641857061,0.1148060138532288,0.0,ACCEPT
1,client_007,RELAY,8.281326632661587,1489.4638340355443,0.8265412866624853,0.85,WARN
1,client_008,HONEST,6.551555109539503,636.3290270101259,0.08286427417366153,0.0,ACCEPT
1,client_009,SPOOFER,1.3395445461556763,644.7582143708547,0.05808101713629077,4.2378864485929375e-09,REJECT
1,client_010,HONEST,10.513423081452636,655.6737789170347,0.11287751953613823,0.0,ACCEPT
1,client_011,RELAY,8.24106649010806,1432.1585618017991,0.8473486124550783,0.85,WARN
1,client_012,SPOOFER,1.5120460419882054,730.0553686557718,0.046152780704377554,9.83029329357135e-09,REJECT
1,client_013,HONEST,8.611856810800335,648.8718674845796,0.0415660981190234,0.0,ACCEPT
1,client_014,HONEST,9.621387377418024,674.4378235623202,0.13955159735215236,0.0,ACCEPT
1,client_015,HONEST,7.158735054246313,695.5908151054232,0.02990744686038596,0.0,ACCEPT
1,client_016,HONEST,8.954228512560324,721.1898078388243,0.050473183743465586,0.0,ACCEPT
1,client_017,HONEST,7.570442724476674,653.2386693653483,0.07482621729419005,0.0,ACCEPT
1,client_018,HONEST,6.389203882720641,652.2282966811958,0.04688481431369476,0.0,ACCEPT
1,client_019,HONEST,8.818310916762218,620.1187123874014,0.17749672025087698,0.0,ACCEPT
1,client_020,HONEST,7.310096049196516,639.5330007233156,0.1406758608684835,0.0,ACCEPT
1,client_021,HONEST,6.772962820279254,657.3924478746342,0.16535713771412142,0.0,ACCEPT
1,client_022,HONEST,6.321020118526527,656.0006004022999,0.11299413971242118,0.0,ACCEPT
1,client_023,HONEST,9.188187446132773,609.7991018964624,0.03397716934578619,0.0,ACCEPT
1,client_024,HONEST,8.876329878740277,659.6520018800785,0.11252464251729383,0.0,ACCEPT
1,client_025,SPOOFER,1.5692896418993951,627.899196548699,0.054645073943220074,1.2938908185917409e-08,REJECT
1,client_026,HONEST,8.601686967958418,626.783578914143,0.19328872555723783,0.0,ACCEPT
1,client_027,HONEST,8.818599505094145,611.2826363409139,0.1328276804316915,0.0,ACCEPT
1,client_028,HONEST,7.0803819957272145,675.5802496216297,0.15792977895037022,0.0,ACCEPT
1,client_029,HONEST,7.265181217977948,681.3097242004404,0.12063904634682493,0.0,ACCEPT
1,client_030,HONEST,9.236472191993387,711.6457719362533,0.08773059419985649,0.0,ACCEPT
1,client_031,HONEST,7.345516602771013,621.0907810371705,0.05920948575172809,0.0,ACCEPT
1,client_032,HONEST,8.157477948703075,661.087439181541,0.11383453996650096,0.0,ACCEPT
1,client_033,RELAY,8.349261989884322,1489.698800785505,0.9953534077157317,0.85,WARN
1,client_034,RELAY,8.218241180011445,1570.335109147526,0.9125667347765006,0.85,WARN
1,client_035,SPOOFER,1.3285684887167435,615.1959938130138,0.05964944830486371,4.0142324445159845e-09,REJECT
1,client_036,HONEST,7.9818446576089785,673.205016057993,0.12366188122867725,0.0,ACCEPT
1,client_037,HONEST,8.162605304811752,622.4792041627768,0.024257638765706774,0.0,ACCEPT
1,client_038,HONEST,7.714182057519575,677.8329608155128,0.11070468720651021,0.0,ACCEPT
1,client_039,HONEST,6.755113465545614,655.6283800901634,0.11926586898644184,0.0,ACCEPT
1,client_040,HONEST,7.189371076558641,654.9960659432296,0.1029104359223,0.0,ACCEPT
1,client_041,HONEST,6.878435642603252,661.6280892113192,0.12803922631841172,0.0,ACCEPT
1,client_042,HONEST,9.549661491810333,684.2485666911343,0.031116531602145447,0.0,ACCEPT
1,client_043,RELAY,8.137460995210185,1504.6524826061113,0.9013785950912209,0.85,WARN
1,client_044,HONEST,8.868057223567257,775.2137734462784,0.12854452553465837,0.0,ACCEPT
1,client_045,HONEST,9.61267876821672,681.005057313529,0.1325695625652899,0.0,ACCEPT
1,client_046,HONEST,7.871676906431586,674.6664996660312,0.06135873927312141,0.0,ACCEPT
1,client_047,HONEST,7.9658176719119895,634.2256846955542,0.10409370696931614,0.0,ACCEPT
1,client_048,HONEST,11.02759028000821,589.3138812407682,0.13431300951872568,0.0,ACCEPT
1,client_049,HONEST,6.314740954572418,634.6622143618434,0.15444752984836832,0.0,ACCEPT
1,client_050,RELAY,8.257713602291455,1457.209569095606,0.7784696290740032,0.85,WARN
1,client_051,SPOOFER,1.6359195497869352,626.263084469193,0.0543291717916395,1.7765811081499705e-08,REJECT
1,client_052,RELAY,8.255468620788458,1469.9028053101956,1.0,0.85,WARN
1,client_053,RELAY,8.326070282678161,1428.990159619236,0.8686454314769427,0.85,WARN
1,client_054,HONEST,7.455856242277934,677.7040833808773,0.06037396307836497,0.0,ACCEPT
1,client_055,RELAY,8.236231627023972,1504.3531909129988,0.9365755194170121,0.85,WARN
